h,t,u1_numeric,u1_exact,u1_error,u2_numeric,u2_exact,u2_error
0.05,0.0,1.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666667,1.1102230246251565e-16
0.05,0.05,1.7218802592164075,1.9120586347285906,0.19017837551218308,-0.49959934330964206,-0.9090765867170195,0.40947724340737746
0.05,0.1,1.7269150467888115,1.7930625850103068,0.06614753822149533,-0.8325977051501264,-1.0320024528827845,0.19940474773265804
0.05,0.15000000000000002,1.6171606323438454,1.6019667633974723,0.01519386894637309,-0.8903729921666365,-0.9614587126176108,0.07108572045097439
0.05,0.2,1.4816872859385364,1.4239023964894868,0.05778488944904958,-0.8610420856652782,-0.8746810254164807,0.013638939751202561
0.05,0.25,1.348945029064521,1.26764561805518,0.08129941100934102,-0.8075045268855822,-0.7952207706504345,0.012283756235147658
0.05,0.3,1.2270633004857463,1.1315765220372396,0.09548677844850673,-0.7503406275933413,-0.7249985684774796,0.025342059115861737
0.05,0.35,1.1174781249176071,1.0129985558426828,0.10447956907492428,-0.6958859138441574,-0.6630596267361064,0.03282628710805102
0.05,0.39999999999999997,1.0195254598573047,0.9094085872759463,0.11011687258135838,-0.6457317576504913,-0.6082142074809911,0.0375175501695002
0.05,0.44999999999999996,0.9319766656408615,0.8186295315239793,0.11334713411688213,-0.5999342400494931,-0.5593892469927249,0.040544993056768286
0.05,0.49999999999999994,0.8535405067748549,0.7387878375287161,0.1147526692461388,-0.558092491210641,-0.5156576739820184,0.04243481722862252
0.05,0.5499999999999999,0.783017271461904,0.6682746574445247,0.11474261401737929,-0.5197062703301805,-0.4762247483402852,0.043481521989895244
0.05,0.6,0.7193370150989437,0.6057096480109452,0.11362736708799848,-0.4842903048400165,-0.4404107597205711,0.04387954511944542
0.05,0.65,0.6615602861103901,0.549909409346259,0.1116508767641311,-0.451407061330076,-0.40763533774995875,0.04377172358011727
0.05,0.7000000000000001,0.6088676647350157,0.49986025226606756,0.10900741246894818,-0.420672619879084,-0.37740382401169326,0.04326879586739074
0.05,0.7500000000000001,0.560546844698209,0.4546947387481374,0.10585210595007166,-0.3917540826526895,-0.349295514186075,0.0424585684666145
0.05,0.8000000000000002,0.5159800482201045,0.4136714763611852,0.10230857185891928,-0.36436468012380857,-0.3229535230717445,0.04141115705206405
0.05,0.8500000000000002,0.47463257339309967,0.37615771396396286,0.09847485942913681,-0.338258591995686,-0.29807604796280573,0.04018254403288024
0.05,0.9000000000000002,0.4360426166039337,0.3416143482363869,0.09442826836754675,-0.31322610400461887,-0.27440883549663664,0.03881726850798223
0.05,0.9500000000000003,0.39981230636169446,0.30958300490430446,0.09022930145739,-0.2890892566414109,-0.251738684029466,0.03735057261194491
0.05,1.0000000000000002,0.36559982905011323,0.279674905358441,0.08592492369167226,-0.26569799107644554,-0.22988783699057705,0.03581015408586849
0.1,0.0,1.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666667,1.1102230246251565e-16
0.1,0.1,-3.0524370689333393,1.7930625850103068,4.845499653943646,8.989305342927928,-1.0320024528827845,10.021307795810712
0.1,0.2,-23.8477948619416,1.4239023964894868,25.27169725843109,51.19270400360281,-0.8746810254164807,52.06738502901929
0.1,0.30000000000000004,-130.1652017142618,1.1315765220372394,131.29677823629905,269.2691931744192,-0.7249985684774796,269.99419174289665
0.1,0.4,-680.231485091626,0.9094085872759461,681.140893678902,1399.3685835021658,-0.6082142074809911,1399.976797709647
0.1,0.5,-3531.299585366617,0.738787837528716,3532.038373204146,7258.241838838534,-0.5156576739820184,7258.757496512516
0.1,0.6,-18312.795052212172,0.6057096480109452,18313.400761860183,37634.9554829752,-0.4404107597205711,37635.39589373492
0.1,0.7,-94951.33190728007,0.4998602522660677,94951.83176753233,195131.87173535957,-0.37740382401169337,195132.24913918358
0.1,0.7999999999999999,-492306.4656394841,0.41367147636118534,492306.8793109605,1011721.8720779489,-0.32295352307174463,1011722.1950314719
0.1,0.8999999999999999,-2552513.623867412,0.34161434823638714,2552513.9654817604,5245578.826589877,-0.2744088354966368,5245579.100998713
0.1,0.9999999999999999,-13234278.78916787,0.27967490535844114,13234279.068842776,27197287.20658695,-0.2298878369905772,27197287.436474785
